fomc,ff.shock.0
04-Feb-1994,0.138864986773943
22-Mar-1994,-0.079669427136292
18-Apr-1994,0.206933683090613
17-May-1994,-0.139500230981377
06-Jul-1994,-0.0115623447152334
16-Aug-1994,-0.0169315355268472
27-Sep-1994,0.0132405380697982
15-Nov-1994,0.0539292754719173
20-Dec-1994,0.0185861839692719
01-Feb-1995,0.261109987612427
28-Mar-1995,0.121439898712901
23-May-1995,-0.0478912806863842
06-Jul-1995,-0.212513125331469
22-Aug-1995,0.0322967715777014
26-Sep-1995,0.0742326913015253
15-Nov-1995,0.0257895748418935
19-Dec-1995,-0.10549887665419
31-Jan-1996,-0.0707819105497087
26-Mar-1996,0.0207302373043165
21-May-1996,0.0232316227047142
03-Jul-1996,-0.0378791358708349
20-Aug-1996,0.000586100565341704
24-Sep-1996,-0.118505904116255
13-Nov-1996,0.0151689497891356
17-Dec-1996,0.0501559950419051
05-Feb-1997,0.0112942640492425
25-Mar-1997,0.0564010288814881
20-May-1997,-0.0626181418187144
02-Jul-1997,-0.00311557857374679
19-Aug-1997,0.0291952283752477
30-Sep-1997,0.0220974129863164
12-Nov-1997,0.00511716635128656
16-Dec-1997,0.0111901986031337
04-Feb-1998,0.00655910370997103
31-Mar-1998,-0.0170738525717104
19-May-1998,0.000881815060805969
01-Jul-1998,-0.00731163139141357
18-Aug-1998,0.0230912110002829
29-Sep-1998,0.031004924033064
15-Oct-1998,0.08535031210029
17-Nov-1998,-0.031856899934842
22-Dec-1998,0.0345148925716481
03-Feb-1999,0.034558344118978
30-Mar-1999,-0.0182857276069543
18-May-1999,0.0718364415734317
30-Jun-1999,-0.0928074343184591
24-Aug-1999,-0.000111022641874133
05-Oct-1999,0.0835002167084261
16-Nov-1999,0.0947416756865659
21-Dec-1999,0.0202039515577495
02-Feb-2000,0.044121250834413
21-Mar-2000,-0.00211766402250494
16-May-2000,0.0417203956233543
28-Jun-2000,0.00264824960618637
22-Aug-2000,0.0195039218374999
03-Oct-2000,0.0358509247012914
15-Nov-2000,0.00757678203087539
19-Dec-2000,0.0309926152183134
03-Jan-2001,-0.126846889980995
31-Jan-2001,-0.0474234305550458
20-Mar-2001,-0.0747755188875471
18-Apr-2001,-0.308199654519177
15-May-2001,-0.0774069422366143
27-Jun-2001,0.135261966081943
21-Aug-2001,-0.0365917317574841
17-Sep-2001,-0.0743713477496181
02-Oct-2001,-0.10872444481041
06-Nov-2001,-0.128157888728812
11-Dec-2001,-0.0515044114210604
30-Jan-2002,0.0360550259578394
19-Mar-2002,-0.0265857456686066
07-May-2002,-0.0577013481180848
26-Jun-2002,-0.111074632370858
13-Aug-2002,-0.0758542265223424
24-Sep-2002,-0.00877689349910079
06-Nov-2002,-0.0676892295030737
10-Dec-2002,0.0215962948254381
29-Jan-2003,0.0447932142902582
18-Mar-2003,0.0585235425526266
06-May-2003,-0.065942181499977
25-Jun-2003,0.183775176311846
12-Aug-2003,-0.0284914616222351
16-Sep-2003,0.0189250361371594
28-Oct-2003,-0.0595716468665128
09-Dec-2003,0.0381712911134263
28-Jan-2004,0.11467263096419
16-Mar-2004,-0.0260553200152473
04-May-2004,0.00892299387826179
30-Jun-2004,-0.0907160851138937
10-Aug-2004,0.0777605638911624
21-Sep-2004,0.0478971361990422
10-Nov-2004,0.0437792248330454
14-Dec-2004,0.0175255815418149
02-Feb-2005,0.0433790246043981
22-Mar-2005,0.0881944690755595
03-May-2005,0.0427033373778032
30-Jun-2005,0.0235196450094532
09-Aug-2005,-0.00617672968409708
20-Sep-2005,0.0821818246992405
01-Nov-2005,0.0415942270430253
13-Dec-2005,-0.00200568320477825
31-Jan-2006,0.0152206571288285
28-Mar-2006,0.0860660792128999
10-May-2006,0.0242888849614946
29-Jun-2006,-0.0588656200685735
08-Aug-2006,-0.0184275772215477
20-Sep-2006,0.0168742374962028
25-Oct-2006,-0.00936454853240876
12-Dec-2006,-0.0100158925780175
31-Jan-2007,-0.0019866745140365
21-Mar-2007,-0.0586543017413133
09-May-2007,0.0431284655239565
28-Jun-2007,0.0614728173741719
07-Aug-2007,0.0627770430339509
10-Aug-2007,-0.0178159126189705
17-Aug-2007,0.0242546792058494
18-Sep-2007,-0.15220870720855
31-Oct-2007,0.113010583143323
11-Dec-2007,-0.0197775732763692
22-Jan-2008,-0.474177893220299
30-Jan-2008,-0.0632399037512763
11-Mar-2008,0.167559053996547
18-Mar-2008,0.232780196834496
30-Apr-2008,-0.0776075584179477
25-Jun-2008,-0.0291185141681269
05-Aug-2008,-0.00881382310402531
16-Sep-2008,0.153262027719159
08-Oct-2008,-0.0202603547053285
29-Oct-2008,-0.107771547536327
25-Nov-2008,-0.155705448618157
01-Dec-2008,-0.0480569029071585
16-Dec-2008,-0.251613215002722
28-Jan-2009,-0.00409698023690844
18-Mar-2009,-0.189301405765013
29-Apr-2009,-0.0123621767010125
24-Jun-2009,0.0282224916024905
12-Aug-2009,-0.0614382234893582
23-Sep-2009,-0.0436877997606047
04-Nov-2009,-0.00974989149843634
16-Dec-2009,-0.0192675041906739
27-Jan-2010,0.0407077659161162
16-Mar-2010,-0.027638841194705
28-Apr-2010,0.00454452355754228
23-Jun-2010,0.0227339199163347
10-Aug-2010,-0.0108833450141874
21-Sep-2010,-0.0287265787035256
03-Nov-2010,-0.000557790488845426
14-Dec-2010,0.0348486883795359
26-Jan-2011,0.0198114972640652
15-Mar-2011,0.0196767133784764
27-Apr-2011,0.0184084759771333
22-Jun-2011,0.00700100915791572
09-Aug-2011,-0.0317796136662419
21-Sep-2011,0.0502011083508176
02-Nov-2011,0.00757678203087179
13-Dec-2011,0.0238315522130562
25-Jan-2012,0.000449467092951681
13-Mar-2012,0.0330290479657411
25-Apr-2012,-0.00574051583573976
20-Jun-2012,0.00958209863710523
01-Aug-2012,0.0185360752020917
13-Sep-2012,0.00644722984844201
24-Oct-2012,0.00859446035177976
12-Dec-2012,0.0107646008791773
30-Jan-2013,0.00732622295043303
20-Mar-2013,0.00515608242303547
01-May-2013,0.0120328382805266
19-Jun-2013,0.0352837678461644
31-Jul-2013,0.0107646008791799
18-Sep-2013,-0.0042725902362869
30-Oct-2013,0.0107646008791799
18-Dec-2013,0.0153340762369407
29-Jan-2014,0.00757678203087179
19-Mar-2014,0.0270700293959908
30-Apr-2014,0.00999748163871497
18-Jun-2014,0.0153554410144173
30-Jul-2014,0.0228645322267812
17-Sep-2014,0.0157372172888582
29-Oct-2014,0.042801676308012
17-Dec-2014,0.0279279822068196
28-Jan-2015,0.00337128486166623
18-Mar-2015,-0.0586483789629817
29-Apr-2015,0.0152206571288314
17-Jun-2015,-0.0144778796544871
29-Jul-2015,0.0208291755849765
17-Sep-2015,-0.0763719325537627
28-Oct-2015,0.0736081376275473
16-Dec-2015,0.0424901030935197
27-Jan-2016,0.0149146425603515
16-Mar-2016,-0.0702939649355907
27-Apr-2016,0.004313152782681
15-Jun-2016,-0.018026698287849
27-Jul-2016,-0.00129536567346083
21-Sep-2016,0.00963241304637052
02-Nov-2016,0.00879759812046843
14-Dec-2016,0.0547272787106823
01-Feb-2017,0.0343500688749376
15-Mar-2017,-0.0207771333846782
03-May-2017,0.0277823750652472
14-Jun-2017,-0.00450145422891574
26-Jul-2017,-0.00961510761284135
20-Sep-2017,0.0412088840769973
01-Nov-2017,0.0266810612808841
13-Dec-2017,-0.00429199108956788
31-Jan-2018,0.0262370732089471
21-Mar-2018,0.0104692952908515
02-May-2018,0.0144535378883629
13-Jun-2018,0.0277493603242287
01-Aug-2018,0.019219156808516
26-Sep-2018,0.00859446035177616
08-Nov-2018,0.0266129141663423
19-Dec-2018,0.0325156253500211
30-Jan-2019,-0.00961510761284426
20-Mar-2019,-0.0145080106454297
01-May-2019,0.0375151330727866
19-Jun-2019,-0.0864590436522518
31-Jul-2019,0.0837532126964757
18-Sep-2019,0.00565020213973138
04-Oct-2019,0.0262820852894001
30-Oct-2019,-0.0019307008080407
11-Dec-2019,0.00800784100384281
29-Jan-2020,-0.00330831380393839
03-Mar-2020,-0.186344309160447
16-Mar-2020,-0.0465534243386249
29-Apr-2020,-0.00984449138403095
10-Jun-2020,-0.00593746148078505
29-Jul-2020,0.00478974814774676
27-Aug-2020,0.0263274329513377
16-Sep-2020,0.0152206571288285
