DATE,DFF,GDPC1_PCA
1947-04-01,.,-1.06256
1947-07-01,.,-0.82346
1947-10-01,.,6.40546
1948-01-01,.,6.15392
1948-04-01,.,6.76801
1948-07-01,.,2.31149
1948-10-01,.,0.44760
1949-01-01,.,-5.39890
1949-04-01,.,-1.35744
1949-07-01,.,4.19409
1949-10-01,.,-3.31504
1950-01-01,.,16.67165
1950-04-01,.,12.76876
1950-07-01,.,16.37699
1950-10-01,.,7.88193
1951-01-01,.,5.54432
1951-04-01,.,7.11307
1951-07-01,.,8.50238
1951-10-01,.,0.88391
1952-01-01,.,4.34313
1952-04-01,.,0.86437
1952-07-01,.,2.91881
1952-10-01,.,13.79831
1953-01-01,.,7.64537
1953-04-01,.,3.12778
1953-07-01,.,-2.23178
1953-10-01,.,-5.91962
1954-01-01,.,-1.89843
1954-04-01,.,0.43668
1954-07-01,1.0284782608695652,4.59449
1954-10-01,0.98836956521739130435,8.05948
1955-01-01,1.3450000000000000,11.92381
1955-04-01,1.5010989010989011,6.66942
1955-07-01,1.9365217391304348,5.51227
1955-10-01,2.3590217391304348,2.42303
1956-01-01,2.4823076923076923,-1.54449
1956-04-01,2.6945054945054945,3.34647
1956-07-01,2.8085869565217391,-0.35887
1956-10-01,2.9298913043478261,6.74778
1957-01-01,2.9330000000000000,2.58587
1957-04-01,3.0000000000000000,-0.87347
1957-07-01,3.2307608695652174,3.97808
1957-10-01,3.2527173913043478,-4.07338
1958-01-01,1.8697777777777778,-9.98453
1958-04-01,0.93692307692307692308,2.65494
1958-07-01,1.3189130434782609,9.57891
1958-10-01,2.1633695652173913,9.68559
1959-01-01,2.5770000000000000,7.90213
1959-04-01,3.0796703296703297,9.33044
1959-07-01,3.5733695652173913,0.28254
1959-10-01,3.9918478260869565,1.14444
1960-01-01,3.9313186813186813,9.29856
1960-04-01,3.6950549450549451,-2.13892
1960-07-01,2.9375000000000000,1.97210
1960-10-01,2.2961956521739130,-5.03563
1961-01-01,1.9875555555555556,2.72707
1961-04-01,1.7335164835164835,6.96458
1961-07-01,1.6793478260869565,7.90228
1961-10-01,2.3967391304347826,8.07818
1962-01-01,2.4583333333333333,7.32776
1962-04-01,2.6071428571428571,3.66395
1962-07-01,2.8451086956521739,5.00535
1962-10-01,2.9240217391304348,1.32211
1963-01-01,2.9656666666666667,4.43831
1963-04-01,2.9645054945054945,4.56460
1963-07-01,3.3265217391304348,9.08800
1963-10-01,3.4513043478260870,2.64831
1964-01-01,3.4643956043956044,8.70346
1964-04-01,3.4879120879120879,4.42657
1964-07-01,3.4565217391304348,6.39718
1964-10-01,3.5751086956521739,1.24122
1965-01-01,3.9772222222222222,10.03602
1965-04-01,4.0794505494505495,5.14976
1965-07-01,4.0775000000000000,9.19400
1965-10-01,4.1707608695652174,9.53960
1966-01-01,4.5590000000000000,10.09825
1966-04-01,4.9137362637362637,1.37343
1966-07-01,5.4106521739130435,3.43090
1966-10-01,5.5597826086956522,3.32223
1967-01-01,4.8194444444444444,3.58954
1967-04-01,3.9923076923076923,0.24542
1967-07-01,3.8918478260869565,3.83853
1967-10-01,4.1728260869565217,3.05035
1968-01-01,4.7926373626373626,8.41101
1968-04-01,5.9842857142857143,6.85257
1968-07-01,5.9465217391304348,3.13604
1968-10-01,5.9181521739130435,1.58259
1969-01-01,6.5674444444444444,6.40898
1969-04-01,8.3325274725274725,1.22154
1969-07-01,8.9810869565217391,2.66835
1969-10-01,8.9416304347826087,-1.93655
1970-01-01,8.5588888888888889,-0.59256
1970-04-01,7.8832967032967033,0.56893
1970-07-01,6.7110869565217391,3.73747
1970-10-01,5.5682608695652174,-4.21814
1971-01-01,3.8627777777777778,11.31464
1971-04-01,4.5672527472527473,2.18211
1971-07-01,5.4755434782608696,3.33273
1971-10-01,4.7476086956521739,0.94648
1972-01-01,3.5490109890109890,7.56124
1972-04-01,4.3014285714285714,9.39291
1972-07-01,4.7414130434782609,3.83138
1972-10-01,5.1455434782608696,6.86795
1973-01-01,6.5382222222222222,10.27281
1973-04-01,7.8184615384615385,4.42628
1973-07-01,10.5577173913043478,-2.08706
1973-10-01,9.9967391304347826,3.85127
1974-01-01,9.3337777777777778,-3.39499
1974-04-01,11.2513186813186813,0.95413
1974-07-01,12.0985869565217391,-3.72731
1974-10-01,9.3443478260869565,-1.54355
1975-01-01,6.3053333333333333,-4.78096
1975-04-01,5.4184615384615385,2.88892
1975-07-01,6.1558695652173913,7.02441
1975-10-01,5.4111956521739130,5.49586
1976-01-01,4.8264835164835165,9.30303
1976-04-01,5.1953846153846154,2.96726
1976-07-01,5.2834782608695652,2.21295
1976-10-01,4.8742391304347826,2.93108
1977-01-01,4.6606666666666667,4.81035
1977-04-01,5.1574725274725275,8.00618
1977-07-01,5.8164130434782609,7.41513
1977-10-01,6.5113043478260870,0.00874
1978-01-01,6.7595555555555556,1.28278
1978-04-01,7.2826373626373626,16.37634
1978-07-01,8.0947826086956522,4.08314
1978-10-01,9.5778260869565217,5.48595
1979-01-01,10.0732222222222222,0.72109
1979-04-01,10.1819780219780220,0.42837
1979-07-01,10.9401086956521739,3.00476
1979-10-01,13.5802173913043478,1.00406
1980-01-01,15.0652747252747253,1.26402
1980-04-01,12.6689010989010989,-7.99064
1980-07-01,9.8231521739130435,-0.47454
1980-10-01,15.8528260869565217,7.67099
1981-01-01,16.5955555555555556,8.07110
1981-04-01,17.7869230769230769,-2.93147
1981-07-01,17.5943478260869565,4.87683
1981-10-01,13.5883695652173913,-4.28754
1982-01-01,14.2074444444444444,-6.07086
1982-04-01,14.5141758241758242,1.83732
1982-07-01,11.0127173913043478,-1.52045
1982-10-01,9.2839130434782609,0.15988
1983-01-01,8.6575555555555556,5.37651
1983-04-01,8.8027472527472527,9.41789
1983-07-01,9.4581521739130435,8.23924
1983-10-01,9.4301086956521739,8.60966
1984-01-01,9.6885714285714286,8.05135
1984-04-01,10.5547252747252747,7.09236
1984-07-01,11.3922826086956522,3.91238
1984-10-01,9.2625000000000000,3.32408
1985-01-01,8.4751111111111111,3.93300
1985-04-01,7.9243956043956044,3.56865
1985-07-01,7.9009782608695652,6.24984
1985-10-01,8.1044565217391304,3.00663
1986-01-01,7.8268888888888889,3.78671
1986-04-01,6.9184615384615385,1.81372
1986-07-01,6.2094565217391304,3.88327
1986-10-01,6.2667391304347826,2.16531
1987-01-01,6.2225555555555556,3.01355
1987-04-01,6.6500000000000000,4.38571
1987-07-01,6.8395652173913043,3.51569
1987-10-01,6.9196739130434783,7.04707
1988-01-01,6.6659340659340659,2.08269
1988-04-01,7.1549450549450549,5.36009
1988-07-01,7.9834782608695652,2.36439
1988-10-01,8.4684782608695652,5.43749
1989-01-01,9.4464444444444444,4.12882
1989-04-01,9.7257142857142857,3.08820
1989-07-01,9.0835869565217391,2.99660
1989-10-01,8.6144565217391304,0.79054
1990-01-01,8.2480000000000000,4.44336
1990-04-01,8.2393406593406593,1.45957
1990-07-01,8.1602173913043478,0.26632
1990-10-01,7.7433695652173913,-3.59215
1991-01-01,6.4304444444444444,-1.85838
1991-04-01,5.8640659340659341,3.15554
1991-07-01,5.6452173913043478,2.03673
1991-10-01,4.8184782608695652,1.40156
1992-01-01,4.0242857142857143,4.87531
1992-04-01,3.7740659340659341,4.40834
1992-07-01,3.2592391304347826,4.01140
1992-10-01,3.0348913043478261,4.23723
1993-01-01,3.0423333333333333,0.66959
1993-04-01,2.9972527472527473,2.34886
1993-07-01,3.0577173913043478,1.92233
1993-10-01,2.9882608695652174,5.55230
1994-01-01,3.2093333333333333,3.93811
1994-04-01,3.9380219780219780,5.53158
1994-07-01,4.4854347826086957,2.35873
1994-10-01,5.1679347826086957,4.66141
1995-01-01,5.8027777777777778,1.42635
1995-04-01,6.0191208791208791,1.19857
1995-07-01,5.7971739130434783,3.44632
1995-10-01,5.7194565217391304,2.74394
1996-01-01,5.3709890109890110,3.02971
1996-04-01,5.2439560439560440,6.84031
1996-07-01,5.3061956521739130,3.63661
1996-10-01,5.2808695652173913,4.21874
1997-01-01,5.2784444444444444,2.60736
1997-04-01,5.5221978021978022,6.81549
1997-07-01,5.5346739130434783,5.09777
1997-10-01,5.5073913043478261,3.47947
1998-01-01,5.5193333333333333,4.05783
1998-04-01,5.4974725274725275,3.75503
1998-07-01,5.5316304347826087,5.10601
1998-10-01,4.8605434782608696,6.62318
1999-01-01,4.7345555555555556,3.82909
1999-04-01,4.7476923076923077,3.38207
1999-07-01,5.0955434782608696,5.39806
1999-10-01,5.3040217391304348,6.73482
2000-01-01,5.6776923076923077,1.46578
2000-04-01,6.2719780219780220,7.48363
2000-07-01,6.5194565217391304,0.39969
2000-10-01,6.4748913043478261,2.39873
2001-01-01,5.5970000000000000,-1.29059
2001-04-01,4.3267032967032967,2.50882
2001-07-01,3.5015217391304348,-1.59180
2001-10-01,2.1304347826086957,1.11388
2002-01-01,1.7328888888888889,3.35429
2002-04-01,1.7515384615384615,2.48483
2002-07-01,1.7408695652173913,1.62391
2002-10-01,1.4442391304347826,0.52365
2003-01-01,1.2496666666666667,2.08297
2003-04-01,1.2467032967032967,3.62168
2003-07-01,1.0168478260869565,6.83616
2003-10-01,0.99673913043478260870,4.69671
2004-01-01,1.00186813186813186813,2.31144
2004-04-01,1.0113186813186813,3.15153
2004-07-01,1.4307608695652174,3.81848
2004-10-01,1.9498913043478261,4.15121
2005-01-01,2.4690000000000000,4.51812
2005-04-01,2.9417582417582418,1.96067
2005-07-01,3.4600000000000000,3.17971
2005-10-01,3.9782608695652174,2.29114
2006-01-01,4.4541111111111111,5.50478
2006-04-01,4.9075824175824176,0.98596
2006-07-01,5.2453260869565217,0.60318
2006-10-01,5.2429347826086957,3.41780
2007-01-01,5.2545555555555556,1.17958
2007-04-01,5.2524175824175824,2.57830
2007-07-01,5.0743478260869565,2.43108
2007-10-01,4.4956521739130435,2.46097
2008-01-01,3.1814285714285714,-1.61978
2008-04-01,2.0847252747252747,2.30891
2008-07-01,1.9406521739130435,-2.09097
2008-10-01,0.50532608695652173913,-8.45057
2009-01-01,0.18444444444444444444,-4.58199
2009-04-01,0.17802197802197802198,-0.67524
2009-07-01,0.15434782608695652174,1.45560
2009-10-01,0.11836956521739130435,4.34077
2010-01-01,0.13388888888888888889,2.01527
2010-04-01,0.19197802197802197802,3.92737
2010-07-01,0.18880434782608695652,3.12863
2010-10-01,0.18956521739130434783,2.09464
2011-01-01,0.15455555555555555556,-0.96019
2011-04-01,0.09461538461538461538,2.73991
2011-07-01,0.08358695652173913043,-0.15498
2011-10-01,0.07434782608695652174,4.56277
2012-01-01,0.10417582417582417582,3.31205
2012-04-01,0.15230769230769230769,1.83595
2012-07-01,0.14434782608695652174,0.70137
2012-10-01,0.16119565217391304348,0.44008
2013-01-01,0.14366666666666666667,3.51660
2013-04-01,0.11582417582417582418,0.55871
2013-07-01,0.08521739130434782609,3.20442
2013-10-01,0.08554347826086956522,2.87517
2014-01-01,0.07222222222222222222,-1.39310
2014-04-01,0.09098901098901098901,5.23630
2014-07-01,0.08913043478260869565,4.74191
2014-10-01,0.10130434782608695652,1.80811
2015-01-01,0.11288888888888888889,3.29316
2015-04-01,0.12560439560439560440,2.34027
2015-07-01,0.13478260869565217391,1.29978
2015-10-01,0.16108695652173913043,0.58622
2016-01-01,0.35978021978021978022,2.37763
2016-04-01,0.36934065934065934066,1.21505
2016-07-01,0.39489130434782608696,2.42623
2016-10-01,0.44815217391304347826,2.00242
2017-01-01,0.69888888888888888889,1.90113
2017-04-01,0.94736263736263736264,2.25793
2017-07-01,1.1536956521739130,2.90778
2017-10-01,1.2046739130434783,3.81499
2018-01-01,1.4470000000000000,3.08651
2018-04-01,1.7369230769230769,3.37760
2018-07-01,1.9261956521739130,1.94179
2018-10-01,2.2201086956521739,0.89556
2019-01-01,2.4017777777777778,2.41269
2019-04-01,2.3973626373626374,3.20962
2019-07-01,2.1921739130434783,2.77032
2019-10-01,1.6456521739130435,1.88963
2020-01-01,1.2549450549450549,-5.11325
2020-04-01,0.05879120879120879121,-31.23570
2020-07-01,0.09260869565217391304,33.78328
2020-10-01,0.08880434782608695652,4.53629
2021-01-01,0.07688888888888888889,6.27818
2021-04-01,0.06824175824175824176,6.72628
2021-07-01,0.09000000000000000000,2.30343
2021-10-01,0.07945652173913043478,6.88744
2022-01-01,.,.
